Ware_house_ID,WH_Manager_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
,,2.0,1.0,4.0,6.0,4.0,0.0,4.0,4472.0,1.0,50.0,0.0,0.0,1.0,85.0,23.0,,20.0,1.0,5.0,3.0,6.0,27128.0
,,1.0,2.0,2.0,4.0,3.0,0.0,5.0,4248.0,1.0,29.0,0.0,0.0,1.0,242.0,31.0,2009.0,16.0,0.0,4.0,5.0,26.0,20127.0
,,1.0,2.0,2.0,2.0,6.0,1.0,2.0,3943.0,2.0,38.0,0.0,0.0,0.0,190.0,19.0,2008.0,18.0,0.0,1.0,4.0,1.0,23149.0
,,1.0,2.0,3.0,3.0,4.0,0.0,2.0,4897.0,2.0,44.0,0.0,0.0,0.0,253.0,27.0,2011.0,18.0,1.0,2.0,2.0,27.0,23134.0
,,1.0,3.0,2.0,6.0,3.0,0.0,4.0,4524.0,1.0,55.0,0.0,0.0,1.0,66.0,24.0,2015.0,14.0,0.0,4.0,3.0,13.0,18150.0
,,1.0,1.0,4.0,6.0,6.0,0.0,4.0,5559.0,2.0,49.0,0.0,0.0,0.0,229.0,20.0,2014.0,9.0,1.0,4.0,4.0,23.0,10080.0
,,1.0,1.0,2.0,6.0,2.0,4.0,2.0,5308.0,2.0,69.0,0.0,0.0,1.0,77.0,39.0,,17.0,0.0,3.0,3.0,23.0,19095.0
,,1.0,3.0,3.0,1.0,1.0,1.0,2.0,4004.0,1.0,38.0,1.0,0.0,1.0,168.0,27.0,,25.0,1.0,5.0,4.0,21.0,32057.0
,,2.0,1.0,2.0,5.0,8.0,0.0,2.0,7311.0,1.0,62.0,0.0,0.0,1.0,219.0,34.0,2010.0,21.0,0.0,1.0,6.0,17.0,28127.0
,,2.0,3.0,2.0,1.0,4.0,0.0,2.0,4657.0,2.0,39.0,0.0,0.0,0.0,110.0,17.0,2000.0,23.0,0.0,4.0,5.0,30.0,27107.0
,,1.0,3.0,2.0,6.0,2.0,0.0,4.0,3810.0,2.0,54.0,0.0,0.0,1.0,69.0,30.0,,31.0,1.0,2.0,2.0,13.0,44129.0
,,1.0,1.0,3.0,6.0,7.0,0.0,4.0,4445.0,2.0,47.0,1.0,1.0,1.0,239.0,29.0,2012.0,10.0,1.0,2.0,5.0,23.0,13061.0
,,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5193.0,2.0,30.0,0.0,0.0,0.0,237.0,26.0,2011.0,20.0,1.0,2.0,6.0,32.0,25145.0
,,1.0,1.0,2.0,6.0,1.0,1.0,2.0,4770.0,1.0,37.0,0.0,0.0,1.0,113.0,16.0,,22.0,0.0,3.0,2.0,7.0,26060.0
,,1.0,1.0,4.0,5.0,5.0,0.0,4.0,5772.0,1.0,28.0,0.0,0.0,1.0,181.0,32.0,1999.0,25.0,0.0,4.0,3.0,25.0,28143.0
,,1.0,2.0,3.0,4.0,4.0,0.0,4.0,6074.0,2.0,49.0,0.0,0.0,0.0,255.0,22.0,2000.0,32.0,0.0,5.0,4.0,26.0,44116.0
,,1.0,1.0,2.0,5.0,1.0,0.0,3.0,6720.0,2.0,30.0,0.0,1.0,1.0,90.0,25.0,,22.0,0.0,4.0,4.0,17.0,27069.0
,,1.0,2.0,3.0,4.0,7.0,0.0,2.0,4135.0,2.0,68.0,0.0,0.0,0.0,151.0,19.0,2003.0,27.0,0.0,4.0,6.0,26.0,34108.0
,,1.0,2.0,3.0,2.0,6.0,1.0,3.0,3880.0,1.0,23.0,0.0,1.0,1.0,112.0,35.0,,9.0,1.0,4.0,3.0,32.0,11134.0
,,1.0,2.0,3.0,2.0,2.0,1.0,2.0,4821.0,2.0,68.0,0.0,0.0,1.0,196.0,44.0,,17.0,1.0,5.0,3.0,32.0,22121.0
,,1.0,2.0,2.0,2.0,3.0,5.0,2.0,4197.0,1.0,29.0,0.0,0.0,1.0,90.0,38.0,,16.0,1.0,2.0,4.0,22.0,21076.0
,,1.0,1.0,4.0,6.0,6.0,0.0,2.0,3820.0,2.0,50.0,0.0,0.0,1.0,58.0,29.0,2014.0,14.0,1.0,4.0,1.0,23.0,18149.0
,,2.0,1.0,2.0,6.0,2.0,3.0,3.0,3973.0,1.0,36.0,0.0,0.0,1.0,140.0,22.0,,22.0,0.0,5.0,5.0,6.0,27151.0
,,1.0,2.0,2.0,3.0,2.0,0.0,2.0,4244.0,1.0,38.0,0.0,0.0,1.0,255.0,29.0,,13.0,1.0,4.0,3.0,19.0,17143.0
,,1.0,1.0,2.0,5.0,6.0,0.0,3.0,2802.0,1.0,40.0,0.0,0.0,1.0,256.0,28.0,2010.0,16.0,1.0,1.0,6.0,24.0,21130.0
,,1.0,1.0,2.0,6.0,0.0,1.0,1.0,8913.0,2.0,55.0,0.0,0.0,1.0,95.0,38.0,,14.0,0.0,5.0,6.0,29.0,18118.0
,,2.0,2.0,2.0,2.0,3.0,0.0,2.0,5309.0,1.0,16.0,0.0,0.0,1.0,84.0,37.0,,26.0,0.0,3.0,2.0,12.0,30115.0
,,1.0,3.0,4.0,6.0,0.0,0.0,4.0,5957.0,1.0,33.0,0.0,0.0,0.0,83.0,22.0,,8.0,0.0,5.0,1.0,15.0,10060.0
,,1.0,2.0,4.0,4.0,8.0,2.0,4.0,3919.0,2.0,49.0,0.0,0.0,0.0,173.0,18.0,,6.0,1.0,2.0,5.0,26.0,8102.0
,,1.0,1.0,4.0,6.0,5.0,0.0,4.0,7117.0,1.0,23.0,0.0,0.0,0.0,212.0,25.0,2008.0,18.0,0.0,3.0,3.0,23.0,20090.0
,,1.0,3.0,4.0,6.0,2.0,1.0,2.0,4339.0,2.0,63.0,0.0,0.0,1.0,158.0,11.0,,14.0,0.0,4.0,5.0,15.0,17140.0
,,1.0,1.0,2.0,5.0,4.0,2.0,4.0,4407.0,2.0,19.0,0.0,0.0,1.0,103.0,21.0,,18.0,0.0,1.0,3.0,24.0,22100.0
,,2.0,1.0,2.0,6.0,1.0,0.0,4.0,4760.0,1.0,48.0,0.0,0.0,1.0,55.0,34.0,,26.0,0.0,1.0,4.0,28.0,35130.0
,,1.0,1.0,2.0,5.0,7.0,0.0,2.0,5526.0,1.0,27.0,1.0,1.0,1.0,257.0,32.0,2013.0,13.0,0.0,5.0,6.0,17.0,17097.0
,,2.0,2.0,3.0,2.0,8.0,0.0,2.0,5245.0,2.0,18.0,0.0,1.0,0.0,70.0,31.0,2011.0,18.0,1.0,4.0,1.0,32.0,24113.0
,,1.0,3.0,1.0,1.0,4.0,0.0,4.0,4564.0,1.0,56.0,0.0,1.0,1.0,160.0,37.0,1996.0,28.0,1.0,2.0,5.0,31.0,39115.0
,,1.0,1.0,3.0,5.0,7.0,0.0,2.0,6633.0,1.0,27.0,0.0,0.0,0.0,181.0,33.0,2012.0,14.0,1.0,3.0,3.0,14.0,18123.0
,,1.0,1.0,2.0,6.0,1.0,1.0,2.0,6917.0,1.0,35.0,0.0,0.0,1.0,220.0,28.0,,4.0,0.0,5.0,2.0,28.0,5103.0
,,1.0,2.0,2.0,4.0,7.0,0.0,3.0,4156.0,1.0,39.0,0.0,0.0,1.0,96.0,43.0,2019.0,6.0,0.0,3.0,5.0,26.0,7118.0
,,1.0,2.0,4.0,4.0,1.0,1.0,4.0,4980.0,1.0,36.0,1.0,0.0,1.0,108.0,26.0,,14.0,0.0,5.0,6.0,26.0,18117.0
,,1.0,1.0,2.0,5.0,8.0,1.0,3.0,4821.0,1.0,59.0,0.0,0.0,1.0,271.0,28.0,2011.0,23.0,1.0,4.0,2.0,14.0,28094.0
,,1.0,1.0,4.0,6.0,0.0,2.0,5.0,4456.0,2.0,38.0,0.0,1.0,1.0,124.0,25.0,,24.0,0.0,1.0,3.0,6.0,31059.0
,,1.0,2.0,3.0,3.0,5.0,2.0,2.0,4824.0,2.0,45.0,0.0,0.0,0.0,263.0,17.0,,16.0,0.0,4.0,4.0,19.0,18080.0
,,1.0,1.0,2.0,6.0,5.0,2.0,4.0,3520.0,2.0,45.0,0.0,0.0,0.0,239.0,22.0,,14.0,0.0,4.0,1.0,29.0,16060.0
,,1.0,2.0,2.0,3.0,2.0,0.0,4.0,4739.0,2.0,17.0,0.0,0.0,0.0,234.0,17.0,,22.0,0.0,3.0,3.0,19.0,27150.0
,,1.0,2.0,4.0,4.0,7.0,0.0,4.0,5299.0,1.0,35.0,0.0,0.0,0.0,109.0,23.0,1997.0,34.0,0.0,5.0,2.0,11.0,46100.0
,,1.0,1.0,2.0,6.0,0.0,1.0,2.0,5239.0,2.0,65.0,0.0,0.0,1.0,198.0,25.0,,14.0,0.0,2.0,6.0,28.0,19131.0
,,1.0,2.0,3.0,4.0,1.0,0.0,2.0,6086.0,2.0,38.0,0.0,0.0,0.0,182.0,23.0,,6.0,0.0,4.0,5.0,20.0,7105.0
,,1.0,2.0,2.0,4.0,3.0,0.0,3.0,4477.0,1.0,34.0,0.0,0.0,0.0,173.0,27.0,2021.0,0.0,0.0,6.0,0.0,26.0,14130.0
,,1.0,2.0,2.0,2.0,7.0,0.0,4.0,5118.0,1.0,39.0,0.0,0.0,1.0,114.0,39.0,1997.0,24.0,1.0,3.0,3.0,1.0,31133.0
,,1.0,2.0,3.0,2.0,1.0,0.0,2.0,5104.0,2.0,28.0,0.0,0.0,1.0,166.0,29.0,,8.0,0.0,4.0,1.0,32.0,10140.0
,,1.0,2.0,2.0,4.0,2.0,0.0,5.0,5218.0,2.0,24.0,0.0,0.0,1.0,151.0,32.0,,18.0,0.0,2.0,4.0,26.0,22122.0
,,1.0,2.0,4.0,4.0,6.0,0.0,4.0,5117.0,1.0,51.0,0.0,0.0,1.0,96.0,32.0,2016.0,14.0,0.0,4.0,3.0,26.0,18139.0
,,1.0,2.0,4.0,4.0,1.0,1.0,5.0,5392.0,1.0,58.0,0.0,1.0,1.0,158.0,27.0,,23.0,0.0,5.0,5.0,11.0,29073.0
,,1.0,2.0,4.0,2.0,5.0,0.0,4.0,4221.0,1.0,54.0,1.0,0.0,1.0,141.0,24.0,2015.0,12.0,1.0,2.0,5.0,12.0,17058.0
,,1.0,2.0,3.0,4.0,5.0,0.0,3.0,6299.0,1.0,21.0,0.0,0.0,1.0,261.0,29.0,2014.0,16.0,0.0,3.0,5.0,26.0,20057.0
,,1.0,1.0,4.0,5.0,5.0,0.0,2.0,6541.0,1.0,52.0,0.0,0.0,1.0,165.0,20.0,2020.0,10.0,1.0,5.0,3.0,14.0,14103.0
,,1.0,2.0,4.0,4.0,7.0,0.0,4.0,5879.0,2.0,67.0,0.0,1.0,1.0,204.0,25.0,2017.0,6.0,0.0,5.0,6.0,11.0,8070.0
,,1.0,1.0,3.0,6.0,7.0,1.0,3.0,3430.0,1.0,34.0,0.0,0.0,0.0,262.0,27.0,,11.0,0.0,5.0,4.0,29.0,14105.0
,,1.0,1.0,2.0,5.0,6.0,1.0,2.0,5285.0,1.0,62.0,1.0,0.0,1.0,141.0,44.0,,7.0,0.0,1.0,2.0,25.0,9114.0
,,1.0,2.0,4.0,4.0,5.0,0.0,3.0,5153.0,1.0,64.0,0.0,0.0,1.0,60.0,29.0,,4.0,0.0,3.0,3.0,11.0,5105.0
,,1.0,1.0,4.0,6.0,7.0,3.0,5.0,2748.0,2.0,56.0,0.0,0.0,0.0,130.0,22.0,,12.0,0.0,4.0,3.0,23.0,14114.0
,,1.0,2.0,3.0,4.0,2.0,1.0,3.0,6590.0,1.0,27.0,0.0,0.0,1.0,254.0,12.0,,18.0,0.0,4.0,5.0,26.0,22062.0
,,1.0,2.0,3.0,2.0,7.0,0.0,2.0,3795.0,2.0,28.0,0.0,0.0,1.0,227.0,31.0,2010.0,18.0,1.0,2.0,5.0,32.0,24111.0
,,1.0,3.0,3.0,6.0,4.0,0.0,2.0,5278.0,1.0,51.0,0.0,0.0,1.0,247.0,27.0,2008.0,20.0,0.0,1.0,5.0,9.0,28121.0
,,1.0,2.0,4.0,2.0,3.0,0.0,4.0,4418.0,2.0,64.0,0.0,0.0,1.0,78.0,22.0,1997.0,37.0,0.0,1.0,4.0,1.0,50124.0
,,1.0,2.0,3.0,2.0,5.0,0.0,3.0,4204.0,2.0,67.0,0.0,0.0,0.0,248.0,18.0,2023.0,0.0,0.0,6.0,0.0,32.0,6106.0
,,1.0,3.0,3.0,6.0,2.0,1.0,2.0,4292.0,1.0,49.0,0.0,0.0,1.0,252.0,31.0,,28.0,0.0,5.0,5.0,2.0,36111.0
,,1.0,1.0,3.0,5.0,2.0,0.0,3.0,6780.0,1.0,40.0,0.0,0.0,1.0,261.0,23.0,,7.0,0.0,4.0,2.0,25.0,8097.0
,,1.0,3.0,4.0,6.0,7.0,3.0,3.0,3046.0,1.0,69.0,0.0,0.0,1.0,177.0,33.0,,14.0,0.0,4.0,4.0,15.0,16150.0
,,1.0,1.0,3.0,6.0,5.0,0.0,2.0,4119.0,2.0,31.0,0.0,0.0,1.0,105.0,27.0,2010.0,15.0,0.0,3.0,4.0,29.0,19088.0
,,1.0,3.0,4.0,1.0,4.0,0.0,4.0,5340.0,1.0,49.0,0.0,0.0,0.0,69.0,29.0,2000.0,26.0,1.0,5.0,2.0,3.0,34129.0
,,1.0,1.0,2.0,5.0,4.0,2.0,3.0,6298.0,1.0,51.0,0.0,0.0,0.0,79.0,33.0,,4.0,0.0,3.0,2.0,14.0,5103.0
,,1.0,1.0,3.0,5.0,3.0,1.0,3.0,5243.0,1.0,40.0,0.0,0.0,0.0,232.0,29.0,,22.0,0.0,3.0,6.0,14.0,26132.0
,,1.0,2.0,4.0,4.0,2.0,1.0,2.0,6320.0,1.0,38.0,0.0,0.0,1.0,66.0,33.0,,30.0,0.0,4.0,2.0,11.0,36131.0
,,1.0,2.0,3.0,3.0,8.0,0.0,2.0,4172.0,1.0,68.0,0.0,0.0,1.0,171.0,27.0,2009.0,18.0,0.0,3.0,6.0,27.0,20065.0
,,1.0,3.0,1.0,1.0,8.0,0.0,8.0,3948.0,2.0,54.0,1.0,0.0,1.0,161.0,25.0,2011.0,15.0,0.0,3.0,5.0,31.0,19124.0
,,1.0,2.0,3.0,2.0,6.0,0.0,2.0,4078.0,1.0,49.0,0.0,0.0,1.0,110.0,24.0,,21.0,0.0,4.0,4.0,12.0,24128.0
,,1.0,2.0,2.0,2.0,4.0,0.0,2.0,4430.0,1.0,33.0,0.0,0.0,0.0,92.0,32.0,2014.0,20.0,0.0,5.0,2.0,12.0,27085.0
,,1.0,3.0,2.0,6.0,8.0,1.0,3.0,5041.0,1.0,31.0,0.0,0.0,1.0,262.0,26.0,1998.0,26.0,0.0,5.0,4.0,13.0,33074.0
,,1.0,2.0,3.0,2.0,7.0,0.0,3.0,3825.0,1.0,54.0,0.0,0.0,1.0,223.0,40.0,2022.0,5.0,0.0,3.0,1.0,32.0,6079.0
,,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4554.0,2.0,31.0,0.0,1.0,1.0,144.0,39.0,,24.0,0.0,1.0,4.0,3.0,30106.0
,,1.0,2.0,3.0,3.0,8.0,0.0,3.0,4334.0,1.0,53.0,0.0,0.0,1.0,86.0,31.0,2010.0,15.0,1.0,2.0,4.0,27.0,21064.0
,,1.0,3.0,2.0,1.0,6.0,1.0,4.0,5013.0,1.0,32.0,1.0,0.0,1.0,225.0,36.0,,11.0,1.0,2.0,6.0,21.0,14062.0
,,1.0,2.0,3.0,4.0,8.0,1.0,3.0,4670.0,1.0,55.0,0.0,1.0,1.0,128.0,31.0,2006.0,24.0,0.0,1.0,4.0,26.0,31107.0
,,1.0,1.0,2.0,5.0,4.0,3.0,2.0,5862.0,2.0,26.0,0.0,0.0,0.0,196.0,18.0,,16.0,0.0,1.0,4.0,5.0,21093.0
,,1.0,1.0,4.0,6.0,7.0,0.0,4.0,4393.0,1.0,59.0,1.0,0.0,1.0,145.0,32.0,2014.0,9.0,0.0,1.0,4.0,23.0,12055.0
,,1.0,2.0,4.0,3.0,1.0,1.0,4.0,5150.0,1.0,48.0,0.0,0.0,1.0,99.0,25.0,,6.0,0.0,5.0,1.0,19.0,8146.0
,,1.0,3.0,4.0,6.0,7.0,1.0,7.0,6062.0,1.0,32.0,0.0,0.0,1.0,115.0,39.0,2013.0,18.0,1.0,2.0,1.0,15.0,24069.0
,,1.0,1.0,2.0,6.0,4.0,2.0,5.0,4396.0,2.0,58.0,0.0,0.0,1.0,187.0,37.0,2002.0,15.0,1.0,2.0,4.0,28.0,19128.0
,,1.0,3.0,2.0,1.0,1.0,0.0,6.0,4279.0,1.0,55.0,0.0,0.0,1.0,58.0,31.0,,4.0,0.0,5.0,2.0,3.0,6090.0
,,1.0,1.0,4.0,6.0,1.0,0.0,2.0,3775.0,1.0,17.0,1.0,0.0,1.0,114.0,42.0,,20.0,0.0,2.0,1.0,23.0,28133.0
,,1.0,3.0,3.0,1.0,3.0,0.0,2.0,4480.0,1.0,50.0,0.0,0.0,1.0,200.0,24.0,2015.0,17.0,0.0,3.0,5.0,16.0,21136.0
,,1.0,1.0,3.0,5.0,2.0,0.0,3.0,4937.0,2.0,40.0,0.0,0.0,0.0,260.0,18.0,,10.0,0.0,3.0,6.0,14.0,12118.0
,,1.0,2.0,3.0,4.0,1.0,0.0,2.0,4763.0,1.0,16.0,1.0,0.0,1.0,215.0,27.0,,39.0,0.0,4.0,4.0,26.0,48139.0
,,1.0,3.0,2.0,1.0,7.0,3.0,4.0,4838.0,2.0,26.0,0.0,0.0,0.0,97.0,18.0,2006.0,21.0,1.0,2.0,5.0,3.0,28151.0
,,1.0,2.0,2.0,4.0,3.0,0.0,3.0,5861.0,1.0,55.0,1.0,0.0,1.0,106.0,35.0,2000.0,24.0,0.0,1.0,4.0,26.0,30126.0
,,1.0,1.0,2.0,5.0,7.0,1.0,3.0,5420.0,1.0,58.0,0.0,0.0,0.0,134.0,25.0,2009.0,22.0,0.0,4.0,3.0,17.0,27147.0
